标题,链接
http://edu.people.com.cn/n1/2023/0620/c1006-40018233.html,2023年全国教育数字化现场推进会议召开
http://edu.people.com.cn/n1/2023/0621/c1006-40018239.html,上海市教育考试院：网传中考泄题为不实信息
http://edu.people.com.cn/n1/2023/0620/c1006-40018236.html,留学生毕业典礼上“秀”诗词：愿做一名文化使者
http://edu.people.com.cn/n1/2023/0621/c1006-40018238.html,幼儿误食避孕药有何后果？专家：危险等级较高
http://edu.people.com.cn/n1/2023/0620/c1006-40018232.html,大学生毕业返乡做“莓”创客 新技术服务“土”产业
http://world.people.com.cn/n1/2023/0621/c1002-40018579.html,外交部美大司司长杨涛介绍中美五项共识
http://world.people.com.cn/n1/2023/0621/c1002-40018579.html,2023年6月19日晚，外交部美大司杨涛司长就美国国务卿布林肯访华向中外媒体吹风。杨涛介绍了中美双方达成的五项共识。
http://world.people.com.cn/,国际
http://world.people.com.cn/GB/157278/index.html,滚动新闻
http://world.people.com.cn/GB/386750/index.html,中国外交
http://world.people.com.cn/n1/2023/0621/c1002-40018335.html,中法文化旅游论坛在法国举行
http://world.people.com.cn/n1/2023/0621/c1002-40018468.html,中方呼吁国际社会支持中非共和国和平进程
http://world.people.com.cn/n1/2023/0621/c1002-40018424.html,意大利中餐业者打造新派“中国味道”
http://world.people.com.cn/n1/2023/0621/c1002-40018307.html,联合国会员国通过保护公海生物多样性协定
http://world.people.com.cn/n1/2023/0621/c1002-40018308.html,报告：兴都库什―喜马拉雅地区冰川加速消融
http://world.people.com.cn/n1/2023/0621/c1002-40018303.html,法国第七届“科技万岁”科技创新展举行
http://world.people.com.cn/n1/2023/0621/c1002-40018303.html,法国第七届“科技万岁”科技创新展日前在巴黎凡尔赛门展览中心举行。作为欧洲最大的科技展会之一，今年的科技创新展涵盖人工智能、能源与气候、未来运动等十大主题，吸引了来自全球的2400多家初创科技企业和20多个行业的领军企业参展，其中不乏中国知名企业。
http://world.people.com.cn/,国际
http://world.people.com.cn/n1/2023/0621/c1002-40018304.html,德国推动初创企业快速发展
http://world.people.com.cn/n1/2023/0621/c1002-40018306.html,伊拉克努力改善电力供应
http://world.people.com.cn/n1/2023/0621/c1002-40018475.html,洪都拉斯发生监狱暴乱至少41人死亡
http://world.people.com.cn/n1/2023/0621/c1002-40018441.html,约旦河西岸枪击事件致4名以色列人死亡
http://world.people.com.cn/n1/2023/0621/c1002-40018506.html,芬兰总统任命新一届联合政府 奥尔波出任总理
http://military.people.com.cn/n1/2023/0621/c1011-40018738.html,空军航空大学探索跨专业跨兵种跨战区联教联训新路
http://military.people.com.cn/n1/2023/0621/c1011-40018738.html,“三代机飞行员要给有关作战保障专业学员授课了！”日前，一条教学信息在空军航空大学学员中引发广泛关注。飞行员给飞行学员授课是常态，但给有关作战保障专业学员授课却是新鲜事。这一教学方式的变化，源于该校对打仗型人才培养的深刻思考。
http://military.people.com.cn/,军事
http://military.people.com.cn/GB/172467/index.html,滚动新闻
http://military.people.com.cn/n1/2023/0621/c1011-40018737.html,武警青海总队突出检视整改推进主题教育走深走实
http://military.people.com.cn/n1/2023/0621/c1011-40018740.html,机关干部蹲点调研，要以成效打动官兵
http://military.people.com.cn/n1/2023/0621/c1011-40018743.html,海军某旅：向科技要管理效益为基层减负
http://military.people.com.cn/n1/2023/0621/c1011-40018744.html,解放军总医院海南医院优质医疗资源向一线延伸
http://military.people.com.cn/n1/2023/0621/c1011-40018756.html,美F-15EX战斗机延迟交付
/n1/2023/0618/c32306-40016419.html,强观察丨5月数据发布，中国经济发展态势如何？
/n1/2023/0618/c32306-40016419.html,6月15日，国家统计局发布了今年5月份国民经济运行情况。数据显示，5月份，稳增长稳就业稳物价政策持续显效，生产需求稳步恢复，就业物价总体稳定，转型升级持续推进，主要生产需求指标环比增速不同程度改善，经济运行延续恢复态势。
/32306/index.html,强国新闻
/n1/2023/0617/c32306-40016151.html,防治荒漠化知多少？
/n1/2023/0616/c32306-40014893.html,强观察｜这些返回舱里的“神器”为航天员保驾护航
/n1/2023/0613/c32306-40012487.html,4943.88亿元！黄河流域生态效益显著增长
/n1/2023/0609/c32306-40010158.html,强观察｜高考招生有变化，这些新增专业你知道么？
/n1/2023/0609/c32306-40010255.html,强观察丨麦收正当时，如何确保颗粒归仓？
http://ent.people.com.cn/n1/2023/0621/c1012-40018608.html,文化内涵是传统节日的灵魂
http://ent.people.com.cn/n1/2023/0621/c1012-40018608.html,散落在岁时“点”上的中国传统节日，承载着丰富的文化内涵和重要的价值观念，凝结着中华民族的文化血脉和思想精华。节日即纽带，联结着传统与现代、过去和未来，润物无声地滋养着世代人民，成为民众安顿个体精神、休憩心灵的重要“节”点。每当节日临近，如何过一个有意义的传统节日总会成为人们热议的话题。过节过的是什么？是文化的传承、精神的延续，是不忘初心，方得始终。
http://ent.people.com.cn/n1/2023/0621/c1012-40018598.html,莫让商业利益干扰少儿节目
http://ent.people.com.cn/n1/2023/0621/c1012-40018591.html,当代文学与传统艺术“深情相拥”
http://ent.people.com.cn/n1/2023/0621/c1012-40018602.html,把传统文化种子播撒在人们心田
http://ent.people.com.cn/n1/2023/0621/c1012-40018601.html,电影成为中国文化国际传播新力量
http://ent.people.com.cn/n1/2023/0621/c1012-40018639.html,国家文物局在京召开长城保护工作会议
http://ent.people.com.cn/n1/2023/0621/c1012-40018399.html,杭州亚运会筹备工作已进入冲刺阶段
http://ent.people.com.cn/n1/2023/0621/c1012-40018399.html,还有不到100天，杭州亚运会的圣火就将点燃，西子湖畔将吹起“亚洲雄风”。自2015年9月申办成功以来，杭州携手宁波、温州、金华、绍兴、湖州5个协办城市，向着“办好一个会，提升一座城”的办赛目标稳步迈进。而今，杭州亚运会筹备工作已进入冲刺阶段，亚运六城正携手奋战、热情邀约，努力呈现一届具有“中国特色、亚洲风采、精彩纷呈”的体育文化盛会。
http://ent.people.com.cn/n1/2023/0621/c1012-40018609.html,全国和美乡村篮球大赛开赛
http://ent.people.com.cn/n1/2023/0621/c1012-40018495.html,亚洲藤球运动员浙江金华开赛
http://ent.people.com.cn/n1/2023/0621/c1012-40018490.html,中国轮椅女篮创世锦赛最佳战绩
http://ent.people.com.cn/n1/2023/0621/c1012-40018402.html,环西自行车挑战赛・北京昌平举行
http://ent.people.com.cn/n1/2023/0621/c1012-40018503.html,国足主帅扬科维奇：“路很长，我们继续努力”
http://health.people.com.cn/n1/2023/0621/c14739-40018302.html,让更多协同发展的红利惠及民生
http://health.people.com.cn/n1/2023/0621/c14739-40018302.html,一直以来，各地患者得了病，总喜欢去北京大医院就医，随着分级诊疗的推行，近些年这种状况有所改变。拿河北来说，河北环绕京津，离得近，过去北京大医院的就医者相当多来自河北。现在，随着京津冀医疗协同步伐的加快，很多患者不用再奔波着往北京赶了。
http://health.people.com.cn/n1/2023/0621/c14739-40018584.html,我国多渠道构建猴痘监测预警体系
http://health.people.com.cn/n1/2023/0621/c14739-40018381.html,为积极应对人口老龄化贡献力量
http://health.people.com.cn/n1/2023/0621/c14739-40018426.html,这四种儿童高发肿瘤要留意
http://health.people.com.cn/n1/2023/0621/c14739-40018435.html,从戒烟大赛 看如何科学战胜烟瘾
http://health.people.com.cn/n1/2023/0621/c14739-40018437.html,体内“穿山甲”微型机器人问世
